epoch,loss,lr,mean_squared_error,val_loss,val_mean_squared_error
61,3.8599704566877335e-05,0.0009780085,3.8599719118792564e-05,2.2914091459824704e-05,2.29140896408353e-05
62,3.842201113002375e-05,0.0009509796,3.842200749204494e-05,2.043894346570596e-05,2.0438941646716557e-05
63,3.7991754652466625e-05,0.0009139882,3.799175829044543e-05,2.073662653856445e-05,2.0736628357553855e-05
64,3.782018393394537e-05,0.0008678607,3.782018393394537e-05,1.9503426301525906e-05,1.950342812051531e-05
65,3.6933892261004075e-05,0.00081362744,3.693388498504646e-05,2.0056972061865963e-05,2.0056973880855367e-05
66,3.6344517866382375e-05,0.0007525,3.634450331446715e-05,2.010081516345963e-05,2.010081516345963e-05
67,3.58788383891806e-05,0.0006858438,3.58788383891806e-05,1.946386691997759e-05,1.9463865100988187e-05
68,3.5586595913628116e-05,0.0006151479,3.558658136171289e-05,1.8325032215216197e-05,1.8325032215216197e-05
69,3.4894561395049095e-05,0.0005419914,3.489455411909148e-05,1.893470653158147e-05,1.8934704712592065e-05
70,3.450496296864003e-05,0.0004680086,3.450496296864003e-05,1.8250344510306604e-05,1.8250344510306604e-05
71,3.3980566513491794e-05,0.00039485213,3.398055559955537e-05,1.7383739759679884e-05,1.7383739759679884e-05
72,3.343652861076407e-05,0.0003241562,3.3436524972785264e-05,1.742136555549223e-05,1.7421363736502826e-05
73,3.317558002891019e-05,0.0002575,3.317558002891019e-05,1.706245711829979e-05,1.706245711829979e-05
74,3.277236100984737e-05,0.00019637255,3.277235373388976e-05,1.6798558135633357e-05,1.6798561773612164e-05
75,3.253967588534579e-05,0.00014213932,3.253967224736698e-05,1.6569480067119002e-05,1.6569480067119002e-05
76,3.2291412935592234e-05,9.6011805e-05,3.2291423849528655e-05,1.6701049389666878e-05,1.670105120865628e-05
77,3.2151612685993314e-05,5.902041e-05,3.2151598134078085e-05,1.6564594261581078e-05,1.6564596080570482e-05
78,3.196527904947288e-05,3.199146e-05,3.196528268745169e-05,1.6273625078611076e-05,1.6273623259621672e-05
79,3.185418245266192e-05,1.5528742e-05,3.18541751767043e-05,1.6268484614556655e-05,1.626848643354606e-05
80,3.6095789255341515e-05,0.0009944713,3.609577106544748e-05,2.0248829969204962e-05,2.0248829969204962e-05
81,3.649554855655879e-05,0.0009780085,3.649554855655879e-05,2.0534504074021243e-05,2.0534505893010646e-05
82,3.6591460229828954e-05,0.0009509796,3.659144203993492e-05,2.031242911471054e-05,2.031242911471054e-05
83,3.635173925431445e-05,0.0009139882,3.6351735616335645e-05,1.9941175196436234e-05,1.994117337744683e-05
84,3.571157867554575e-05,0.0008678607,3.5711585951503366e-05,2.0684668925241567e-05,2.0684667106252164e-05
85,3.516927972668782e-05,0.00081362744,3.5169283364666626e-05,1.954609979293309e-05,1.9546101611922495e-05
86,3.488290894892998e-05,0.0007525,3.4882901672972366e-05,1.900457209558226e-05,1.900457209558226e-05
87,3.454253601375967e-05,0.0006858438,3.454254328971729e-05,1.77818292286247e-05,1.7781827409635298e-05
88,3.401605863473378e-05,0.0006151479,3.40160695486702e-05,1.7702170225675218e-05,1.7702170225675218e-05
89,3.3563079341547564e-05,0.0005419914,3.3563075703568757e-05,1.8308466678718105e-05,1.8308466678718105e-05
90,3.317473965580575e-05,0.0004680086,3.3174736017826945e-05,1.76742032635957e-05,1.7674205082585104e-05
91,3.272730828030035e-05,0.00039485213,3.2727311918279156e-05,1.720740328892134e-05,1.720740328892134e-05
92,3.241248123231344e-05,0.0003241562,3.2412463042419404e-05,1.6894700820557773e-05,1.6894700820557773e-05
93,3.205935354344547e-05,0.0002575,3.205935354344547e-05,1.6747770132496953e-05,1.6747771951486357e-05
94,3.179206032655202e-05,0.00019637255,3.179206760250963e-05,1.6397812942159362e-05,1.6397812942159362e-05
95,3.156004459015094e-05,0.00014213932,3.156005550408736e-05,1.63529457495315e-05,1.63529457495315e-05
96,3.137241583317518e-05,9.6011805e-05,3.137241583317518e-05,1.6059757399489172e-05,1.6059757399489172e-05
97,3.117684173048474e-05,5.902041e-05,3.1176845368463546e-05,1.6080883142421953e-05,1.608088132343255e-05
98,3.1110710551729426e-05,3.199146e-05,3.1110710551729426e-05,1.5846802853047848e-05,1.5846802853047848e-05
99,3.099022069363855e-05,1.5528742e-05,3.099022069363855e-05,1.5897801858955063e-05,1.589780003996566e-05
